iter	Passed	Remaining
151	513	6247
152	516	6239
153	520	6233
154	523	6226
155	525	6217
156	529	6212
157	532	6203
158	535	6202
159	538	6196
160	541	6186
161	544	6178
162	547	6169
163	550	6161
164	553	6155
165	556	6149
166	559	6140
167	564	6154
168	567	6145
169	570	6140
170	573	6136
171	576	6129
172	579	6120
173	582	6113
174	585	6107
175	588	6101
176	591	6095
177	594	6090
178	598	6085
179	601	6079
180	604	6076
181	607	6069
182	610	6064
183	613	6057
184	616	6049
185	620	6050
186	623	6043
187	642	6188
188	644	6179
189	647	6169
190	651	6166
191	654	6159
192	657	6154
193	660	6147
194	663	6138
195	666	6134
196	669	6127
197	672	6123
198	675	6116
199	679	6111
200	682	6106
201	685	6099
202	688	6093
203	691	6088
204	694	6084
205	697	6077
206	701	6078
207	705	6076
208	708	6075
209	711	6068
210	715	6063
211	718	6057
212	721	6051
213	724	6044
214	727	6036
215	730	6031
216	733	6026
217	736	6019
218	739	6016
219	742	6009
220	745	6002
221	749	6000
222	752	5997
223	755	5993
224	758	5987
225	762	5981
226	765	5975
227	767	5968
228	770	5962
229	774	5956
230	776	5948
231	780	5944
232	783	5938
233	786	5933
234	789	5927
235	791	5919
236	795	5914
237	798	5908
238	800	5900
239	805	5910
240	808	5903
241	811	5898
242	814	5891
243	817	5885
244	820	5879
245	823	5873
246	826	5868
247	829	5861
248	832	5855
249	835	5851
250	838	5845
251	841	5834
252	843	5827
253	846	5820
254	849	5815
255	852	5809
256	855	5803
257	858	5797
258	861	5791
259	864	5785
260	868	5784
261	871	5781
262	874	5775
263	877	5768
264	880	5762
265	883	5758
266	886	5752
267	889	5747
268	892	5741
269	895	5735
270	898	5731
271	901	5724
272	904	5718
273	907	5714
274	910	5708
275	913	5703
276	916	5698
277	919	5693
278	922	5688
279	925	5684
280	928	5681
281	931	5677
282	934	5672
283	937	5666
284	940	5662
285	943	5656
286	947	5652
287	949	5646
288	952	5640
289	955	5636
290	958	5630
291	961	5626
292	964	5620
293	967	5615
294	971	5612
295	974	5608
296	977	5607
297	980	5600
298	983	5595
299	987	5594
300	990	5588
301	993	5583
302	996	5578
303	998	5572
304	1002	5571
305	1007	5574
306	1010	5573
307	1013	5568
308	1016	5563
309	1019	5558
310	1022	5552
311	1025	5548
312	1028	5543
313	1031	5538
314	1034	5534
315	1037	5528
316	1040	5522
317	1043	5518
318	1048	5525
319	1051	5522
320	1055	5518
321	1058	5514
322	1061	5510
323	1064	5504
324	1067	5501
325	1070	5497
326	1073	5492
327	1077	5490
328	1080	5487
329	1084	5485
330	1087	5482
331	1090	5479
332	1093	5475
333	1096	5469
334	1099	5466
335	1102	5461
336	1105	5457
337	1109	5454
338	1112	5448
339	1113	5438
340	1117	5435
341	1120	5430
342	1123	5427
343	1126	5423
344	1129	5417
345	1133	5418
346	1136	5414
347	1139	5411
348	1142	5406
349	1145	5401
350	1149	5398
351	1152	5393
352	1155	5392
353	1158	5388
354	1162	5385
355	1165	5382
356	1168	5377
357	1171	5375
358	1175	5372
359	1178	5370
360	1182	5369
361	1186	5367
362	1189	5364
363	1192	5360
364	1195	5356
365	1198	5352
366	1201	5348
367	1204	5343
368	1207	5338
369	1210	5334
370	1214	5333
371	1217	5329
372	1220	5324
373	1223	5320
374	1226	5316
375	1230	5312
376	1233	5309
377	1236	5304
378	1239	5299
379	1242	5295
380	1245	5292
381	1248	5288
382	1251	5284
383	1254	5280
384	1257	5276
385	1261	5273
386	1263	5268
387	1267	5264
388	1270	5259
389	1273	5255
390	1276	5252
391	1279	5247
392	1282	5243
393	1286	5243
394	1289	5239
395	1292	5235
396	1295	5230
397	1298	5226
398	1301	5221
399	1304	5217
400	1307	5212
401	1310	5207
402	1313	5203
403	1316	5199
404	1319	5194
405	1322	5190
406	1325	5186
407	1327	5181
408	1331	5178
409	1334	5173
410	1337	5169
411	1340	5165
412	1343	5160
413	1346	5156
414	1349	5152
415	1352	5149
416	1355	5145
417	1358	5142
418	1362	5140
419	1365	5137
420	1369	5134
421	1372	5131
422	1375	5128
423	1379	5126
424	1382	5123
425	1385	5119
426	1389	5118
427	1392	5114
428	1395	5111
429	1399	5109
430	1403	5107
431	1406	5104
432	1409	5101
433	1412	5098
434	1416	5095
435	1419	5093
